number	title	url
902	[Audit] Issue Templates, Automation, & AI Agent Integration	https://github.com/lightspeedwp/.github/issues/902
903	[Audit] Canonical Config Files (labels, issue-types, issue-fields)	https://github.com/lightspeedwp/.github/issues/903
904	[Audit] Documentation Consolidation - Reduce Duplication Across Docs	https://github.com/lightspeedwp/.github/issues/904
905	[Audit] README Files - Mermaid Diagrams & Accessibility Review	https://github.com/lightspeedwp/.github/issues/905
906	[Audit] File Organization - Align with CLAUDE.md Repository Boundaries	https://github.com/lightspeedwp/.github/issues/906
907	[Child] Audit: Issue Template Inventory & Standardization	https://github.com/lightspeedwp/.github/issues/907
908	[Child] Audit: Issue Template -> Automation Trigger Mapping	https://github.com/lightspeedwp/.github/issues/908
909	[Child] Audit: Issue Labeling Rules in labeler.yml	https://github.com/lightspeedwp/.github/issues/909
910	[Child] Implement: Clear AI Agent Instructions for Issue Creation	https://github.com/lightspeedwp/.github/issues/910
911	[Child] Audit: labels.yml Colour Consistency & Strategy Alignment	https://github.com/lightspeedwp/.github/issues/911
912	[Child] Audit: Issue Types Alignment with Templates & Labels	https://github.com/lightspeedwp/.github/issues/912
913	[Child] Audit: Issue Fields Configuration vs GitHub API	https://github.com/lightspeedwp/.github/issues/913
914	[Child] Document: Canonical Config File Interdependencies	https://github.com/lightspeedwp/.github/issues/914
916	[Child] Audit: Issue Creation Docs - Consolidate Overlapping Files	https://github.com/lightspeedwp/.github/issues/916
917	[Child] Audit: PR Creation Docs - Consolidate Overlapping Files	https://github.com/lightspeedwp/.github/issues/917
918	[Child] Audit: Labeling Docs - Consolidate Overlapping Files	https://github.com/lightspeedwp/.github/issues/918
919	[Child] Audit: Documentation Folder Structure vs CLAUDE.md Boundaries	https://github.com/lightspeedwp/.github/issues/919
920	[Child] Update: Documentation Index (docs/index.md) - Complete & Current	https://github.com/lightspeedwp/.github/issues/920
921	[Child] Audit: Discover All README.md Files - Inventory	https://github.com/lightspeedwp/.github/issues/921
922	[Child] Audit: Validate Mermaid Syntax in All Diagrams	https://github.com/lightspeedwp/.github/issues/922
923	[Child] Audit: Mermaid Diagram Accessibility (WCAG AA, Light/Dark)	https://github.com/lightspeedwp/.github/issues/923
924	[Child] Update: Fix & Refresh README Files with Current Information	https://github.com/lightspeedwp/.github/issues/924
925	[Child] Audit: Current File Organization vs CLAUDE.md Boundaries	https://github.com/lightspeedwp/.github/issues/925
926	[Child] Audit: Agent & Script Files - Migration Status	https://github.com/lightspeedwp/.github/issues/926
927	[Child] Plan: File Organization Refactoring - Migration & Validation	https://github.com/lightspeedwp/.github/issues/927
