skill_name,title,description,category,path,status,readable,exportable,export_status
content-file-validator,,,agent-attached,./skills/agent-attached/content-file-validator,active,yes,yes
,,,,./skills//,active,yes,yes
,,,,./skills//,active,yes,yes
,,,,./skills//,active,yes,yes
,,,,./skills//,active,yes,yes
,,,,./skills//,active,yes,yes
,,,,./skills//,active,yes,yes
,,,,./skills//,active,yes,yes
,,,,./skills//,active,yes,yes
,,,,./skills//,active,yes,yes
,,,,./skills//,active,yes,yes
,,,,./skills//,active,yes,yes
,,,,./skills//,active,yes,yes
,,,,./skills//,active,yes,yes
,,,,./skills//,active,yes,yes
,,,,./skills//,active,yes,yes
,,,,./skills//,active,yes,yes
,,,,./skills//,active,yes,yes
,,,,./skills//,active,yes,yes
,,,,./skills//,active,yes,yes
,,,,./skills//,active,yes,yes
,,,,./skills//,active,yes,yes
,,,,./skills//,active,yes,yes
,,,,./skills//,active,yes,yes
,,,,./skills//,active,yes,yes
,,,,./skills//,active,yes,yes
,,,,./skills//,active,yes,yes
,,,,./skills//,active,yes,yes
,,,,./skills//,active,yes,yes
,,,,./skills//,active,yes,yes
,,,,./skills//,active,yes,yes
,,,,./skills//,active,yes,yes
,,,,./skills//,active,yes,yes
,,,,./skills//,active,yes,yes
,, skill,,./skills//,active,yes,yes
,, skill,,./skills//,active,yes,yes
,, skill,,./skills//,active,yes,yes
,, skill,,./skills//,active,yes,yes
,, skill,,./skills//,active,yes,yes
