File,Reference Count,References,Recommendation
".github/DISCUSSION_TEMPLATE/README.md",0,"",KEEP_NO_REFS
".github/FOOTER_REMEDIATION_GUIDE.md",0,"",KEEP_NO_REFS
".github/ISSUE_TEMPLATE/01-task.md",0,"",KEEP_NO_REFS
".github/ISSUE_TEMPLATE/02-bug.md",0,"",KEEP_NO_REFS
".github/ISSUE_TEMPLATE/03-feature.md",0,"",KEEP_NO_REFS
".github/ISSUE_TEMPLATE/04-design.md",0,"",KEEP_NO_REFS
".github/ISSUE_TEMPLATE/05-epic.md",0,"",KEEP_NO_REFS
".github/ISSUE_TEMPLATE/06-story.md",0,"",KEEP_NO_REFS
".github/ISSUE_TEMPLATE/07-improvement.md",0,"",KEEP_NO_REFS
".github/ISSUE_TEMPLATE/08-user-experience-feedback.md",0,"",KEEP_NO_REFS
".github/ISSUE_TEMPLATE/09-code-refactor.md",0,"",KEEP_NO_REFS
".github/ISSUE_TEMPLATE/10-build-ci.md",0,"",KEEP_NO_REFS
".github/ISSUE_TEMPLATE/11-automation.md",0,"",KEEP_NO_REFS
".github/ISSUE_TEMPLATE/13-performance.md",0,"",KEEP_NO_REFS
".github/ISSUE_TEMPLATE/14-a11y.md",0,"",KEEP_NO_REFS
".github/ISSUE_TEMPLATE/15-security.md",0,"",KEEP_NO_REFS
".github/ISSUE_TEMPLATE/16-compatibility.md",0,"",KEEP_NO_REFS
".github/ISSUE_TEMPLATE/17-integration-issue.md",0,"",KEEP_NO_REFS
".github/ISSUE_TEMPLATE/18-release.md",0,"",KEEP_NO_REFS
".github/ISSUE_TEMPLATE/19-maintenance.md",0,"",KEEP_NO_REFS
".github/ISSUE_TEMPLATE/20-documentation.md",0,"",KEEP_NO_REFS
".github/ISSUE_TEMPLATE/21-research.md",0,"",KEEP_NO_REFS
".github/ISSUE_TEMPLATE/22-audit.md",0,"",KEEP_NO_REFS
".github/ISSUE_TEMPLATE/23-code-review.md",0,"",KEEP_NO_REFS
".github/ISSUE_TEMPLATE/24-ai-ops.md",0,"",KEEP_NO_REFS
".github/ISSUE_TEMPLATE/25-content-modelling.md",0,"",KEEP_NO_REFS
".github/ISSUE_TEMPLATE/26-help.md",0,"",KEEP_NO_REFS
".github/ISSUE_TEMPLATE/README.md",0,"",KEEP_NO_REFS
".github/PULL_REQUEST_TEMPLATE/README.md",0,"",KEEP_NO_REFS
".github/PULL_REQUEST_TEMPLATE/pr_bug.md",0,"",KEEP_NO_REFS
".github/PULL_REQUEST_TEMPLATE/pr_chore.md",0,"",KEEP_NO_REFS
".github/PULL_REQUEST_TEMPLATE/pr_ci.md",0,"",KEEP_NO_REFS
".github/PULL_REQUEST_TEMPLATE/pr_dep_update.md",0,"",KEEP_NO_REFS
".github/PULL_REQUEST_TEMPLATE/pr_docs.md",0,"",KEEP_NO_REFS
".github/PULL_REQUEST_TEMPLATE/pr_feature.md",0,"",KEEP_NO_REFS
".github/PULL_REQUEST_TEMPLATE/pr_hotfix.md",0,"",KEEP_NO_REFS
