<<<<<<< Updated upstream
source_path,asset_type,decision,target_path,hard_coded_github_path,follow_up_issue,rationale
.github/agents/README.md,agent-spec,move,agents/README.md,yes,,Portable agent index should move to /agents; keep repo-only notes in .github if needed.
.github/agents/adr.agent.md,agent-spec,move,agents/adr.agent.md,no,,Reusable agent spec candidate for /agents; confirm repo-only assumptions before moving.
.github/agents/agent.md,agent-spec,move,agents/agent.md,yes,,Reusable agent spec candidate for /agents; confirm repo-only assumptions before moving.
.github/agents/issues.agent.md,agent-spec,move,agents/issues.agent.md,yes,,Reusable agent spec candidate for /agents; confirm repo-only assumptions before moving.
.github/agents/labeling.agent.md,agent-spec,move,agents/labeling.agent.md,yes,,Reusable agent spec candidate for /agents; confirm repo-only assumptions before moving.
.github/agents/linting.agent.md,agent-spec,move,agents/linting.agent.md,yes,,Reusable agent spec candidate for /agents; confirm repo-only assumptions before moving.
.github/agents/meta.agent.md,agent-spec,move,agents/meta.agent.md,no,,Reusable agent spec candidate for /agents; confirm repo-only assumptions before moving.
.github/agents/metrics.agent.md,agent-spec,move,agents/metrics.agent.md,no,,Reusable agent spec candidate for /agents; confirm repo-only assumptions before moving.
.github/agents/mode-demonstrate-understanding.agent.md,agent-spec,move,agents/mode-demonstrate-understanding.agent.md,no,,Reusable agent spec candidate for /agents; confirm repo-only assumptions before moving.
.github/agents/mode-document-reviewer.agent.md,agent-spec,move,agents/mode-document-reviewer.agent.md,no,,Reusable agent spec candidate for /agents; confirm repo-only assumptions before moving.
.github/agents/mode-prd.agent.md,agent-spec,move,agents/mode-prd.agent.md,no,,Reusable agent spec candidate for /agents; confirm repo-only assumptions before moving.
.github/agents/mode-thinking.agent.md,agent-spec,move,agents/mode-thinking.agent.md,no,,Reusable agent spec candidate for /agents; confirm repo-only assumptions before moving.
.github/agents/project-meta-sync.agent.md,agent-spec,move,agents/project-meta-sync.agent.md,no,,Reusable agent spec candidate for /agents; confirm repo-only assumptions before moving.
.github/agents/prompt-engineer.agent.md,agent-spec,move,agents/prompt-engineer.agent.md,no,,Reusable agent spec candidate for /agents; confirm repo-only assumptions before moving.
.github/agents/release.agent.md,agent-spec,move,agents/release.agent.md,yes,,Reusable agent spec candidate for /agents; confirm repo-only assumptions before moving.
.github/agents/reporting.agent.md,agent-spec,move,agents/reporting.agent.md,yes,,Reusable agent spec candidate for /agents; confirm repo-only assumptions before moving.
.github/agents/reviewer.agent.md,agent-spec,move,agents/reviewer.agent.md,yes,,Reusable agent spec candidate for /agents; confirm repo-only assumptions before moving.
.github/agents/task-planner.agent.md,agent-spec,move,agents/task-planner.agent.md,no,,Reusable agent spec candidate for /agents; confirm repo-only assumptions before moving.
.github/agents/task-researcher.agent.md,agent-spec,move,agents/task-researcher.agent.md,no,,Reusable agent spec candidate for /agents; confirm repo-only assumptions before moving.
.github/agents/template.agent.md,agent-spec,move,agents/template.agent.md,yes,,Reusable agent spec candidate for /agents; confirm repo-only assumptions before moving.
.github/agents/testing.agent.md,agent-spec,move,agents/testing.agent.md,yes,,Reusable agent spec candidate for /agents; confirm repo-only assumptions before moving.
.github/instructions/.archive/CONSOLIDATION_MIGRATION_GUIDE.md,instruction,archive,,yes,,Legacy archived instruction; do not migrate by default unless a later issue proves value.
.github/instructions/.archive/FRONTMATTER_SCHEMA.md.backup,instruction,archive,,yes,,Legacy archived instruction; do not migrate by default unless a later issue proves value.
.github/instructions/.archive/INSTRUCTION_CONSOLIDATION_MIGRATION.md,instruction,archive,,yes,,Legacy archived instruction; do not migrate by default unless a later issue proves value.
.github/instructions/.archive/ISSUE_TYPES.md.backup,instruction,archive,,yes,,Legacy archived instruction; do not migrate by default unless a later issue proves value.
.github/instructions/.archive/README.md,instruction,archive,,yes,,Legacy archived instruction; do not migrate by default unless a later issue proves value.
.github/instructions/.archive/WORKFLOWS.md.backup,instruction,archive,,yes,,Legacy archived instruction; do not migrate by default unless a later issue proves value.
.github/instructions/.archive/agents.instructions.md,instruction,archive,,yes,,Legacy archived instruction; do not migrate by default unless a later issue proves value.
.github/instructions/.archive/file-management.instructions.md,instruction,archive,,yes,,Legacy archived instruction; do not migrate by default unless a later issue proves value.
.github/instructions/.archive/frontmatter.instructions.md,instruction,archive,,yes,,Legacy archived instruction; do not migrate by default unless a later issue proves value.
.github/instructions/.archive/javascript.instructions.md,instruction,archive,,yes,,Legacy archived instruction; do not migrate by default unless a later issue proves value.
